iter	Passed	Remaining
0	119	59582
1	138	34372
2	194	32267
3	229	28512
4	250	24772
5	286	23610
6	308	21747
7	347	21372
8	380	20780
9	418	20488
10	447	19877
11	464	18891
12	471	17666
13	516	17918
14	561	18169
15	604	18276
16	647	18384
17	680	18221
18	702	17786
19	736	17686
20	775	17699
21	797	17316
22	837	17373
23	851	16895
24	872	16578
25	917	16726
26	962	16867
27	975	16450
28	996	16191
29	1041	16319
30	1063	16084
31	1101	16114
32	1141	16152
33	1179	16172
34	1216	16164
35	1257	16202
36	1297	16238
37	1325	16117
38	1363	16118
39	1391	15997
40	1423	15934
41	1458	15906
42	1492	15856
43	1525	15812
44	1561	15784
45	1577	15564
46	1616	15577
47	1652	15556
48	1685	15516
49	1721	15490
50	1741	15332
51	1773	15282
52	1811	15275
53	1843	15225
54	1880	15216
55	1912	15166
56	1947	15135
57	1983	15118
58	2023	15123
59	2062	15123
60	2103	15137
61	2135	15088
62	2174	15082
63	2212	15072
64	2246	15033
65	2281	15002
66	2318	14984
67	2356	14969
68	2393	14949
69	2431	14935
70	2470	14926
71	2507	14906
72	2543	14877
73	2580	14853
74	2615	14823
75	2651	14793
76	2686	14760
77	2721	14722
78	2758	14698
79	2799	14697
80	2837	14676
81	2876	14665
82	2895	14546
83	2938	14551
84	2978	14543
85	3019	14535
86	3056	14508
87	3095	14491
88	3128	14445
89	3163	14411
90	3205	14406
91	3242	14380
92	3276	14339
93	3312	14306
94	3347	14269
95	3388	14258
96	3426	14235
97	3463	14206
98	3501	14184
99	3535	14143
100	3569	14102
101	3612	14096
102	3656	14094
103	3691	14057
104	3705	13938
105	3743	13915
106	3783	13895
107	3822	13874
108	3857	13838
109	3896	13816
110	3935	13793
111	3970	13754
112	4009	13731
113	4041	13685
114	4089	13689
115	4124	13654
116	4166	13638
117	4207	13621
118	4249	13604
119	4288	13580
120	4330	13564
121	4368	13534
122	4402	13493
123	4436	13453
124	4478	13434
125	4517	13409
126	4558	13387
127	4600	13370
128	4639	13344
129	4676	13309
130	4710	13267
131	4752	13250
132	4793	13227
133	4832	13198
134	4848	13109
135	4885	13076
136	4925	13050
137	4961	13013
138	5000	12987
139	5042	12967
140	5083	12942
141	5122	12913
142	5166	12898
143	5206	12870
144	5245	12842
145	5283	12811
146	5323	12784
147	5364	12758
148	5402	12726
149	5443	12700
150	5474	12653
151	5512	12621
152	5554	12596
153	5590	12560
154	5630	12532
155	5666	12495
156	5706	12467
157	5740	12426
158	5780	12397
159	5817	12362
160	5859	12336
161	5901	12313
162	5948	12297
163	5985	12263
164	6022	12227
165	6061	12195
